month,NA,SA,SO,PO,IO
2005-11-01,288.07861328125,283.21246337890625,273.7472229003906,290.1631774902344,289.4371337890625
2005-12-01,287.151123046875,284.1149597167969,274.3609924316406,289.9527893066406,289.6668395996094
2006-01-01,286.3981018066406,285.14166259765625,275.13482666015625,289.88555908203125,289.934326171875
2006-02-01,285.94683837890625,285.81060791015625,275.5317687988281,289.93255615234375,290.2309265136719
2006-03-01,285.89129638671875,285.8590393066406,275.25396728515625,289.9212951660156,290.38531494140625
2006-04-01,286.3131103515625,285.2813720703125,274.6590576171875,289.9623107910156,290.4397277832031
2006-05-01,287.1060791015625,284.4631042480469,274.13031005859375,289.98443603515625,290.3552551269531
2006-06-01,288.2598571777344,283.519287109375,273.68243408203125,290.2010192871094,290.0960693359375
2006-07-01,289.6130065917969,282.80889892578125,273.4856262207031,290.64825439453125,289.8902282714844
2006-08-01,290.45672607421875,282.51934814453125,273.3671875,291.021240234375,289.76153564453125
2006-09-01,290.2462158203125,282.4674377441406,273.31573486328125,290.99658203125,289.5269470214844
2006-10-01,289.3621826171875,282.66143798828125,273.41070556640625,290.5165710449219,289.52264404296875
2006-11-01,288.2803039550781,283.2468566894531,273.6799621582031,290.1412048339844,289.77520751953125
2006-12-01,287.14654541015625,284.2596435546875,274.2109375,289.9413146972656,290.0614318847656
2007-01-01,286.43829345703125,285.18206787109375,274.85845947265625,289.8847351074219,290.2420959472656
2007-02-01,286.0733947753906,285.7255554199219,275.2834167480469,289.91455078125,290.4932861328125
2007-03-01,285.9857482910156,285.60260009765625,275.0990295410156,289.90399169921875,290.5182800292969
2007-04-01,286.2721252441406,285.05816650390625,274.53497314453125,289.88043212890625,290.52813720703125
2007-05-01,286.9881286621094,284.16064453125,274.09490966796875,289.9426574707031,290.33612060546875
2007-06-01,288.1351013183594,283.2987976074219,273.69940185546875,290.2354431152344,290.1103515625
2007-07-01,289.5067443847656,282.6240539550781,273.4674377441406,290.74114990234375,289.8372802734375
2007-08-01,290.1995849609375,282.22540283203125,273.3283386230469,291.0989074707031,289.7189636230469
2007-09-01,290.0695495605469,282.1532287597656,273.3061828613281,290.94903564453125,289.66949462890625
2007-10-01,289.1927490234375,282.53204345703125,273.4122314453125,290.44195556640625,289.6018981933594
2007-11-01,288.1556701660156,283.1152648925781,273.6790771484375,289.8970642089844,289.6487731933594
2007-12-01,287.09930419921875,284.0177917480469,274.1518859863281,289.71014404296875,289.829345703125
2008-01-01,286.33331298828125,285.0773620605469,274.8340148925781,289.67535400390625,290.14727783203125
2008-02-01,285.966064453125,285.6501159667969,275.1755065917969,289.750244140625,290.2891540527344
2008-03-01,285.9654235839844,285.6644287109375,274.9471740722656,289.7929382324219,290.3642272949219
2008-04-01,286.1509704589844,285.0762023925781,274.5119934082031,289.822509765625,290.42626953125
2008-05-01,287.0334777832031,284.24981689453125,274.1185607910156,289.8914794921875,290.24090576171875
2008-06-01,288.4266662597656,283.3398132324219,273.7326965332031,290.1435241699219,289.9833984375
2008-07-01,289.70391845703125,282.72052001953125,273.4801940917969,290.7339172363281,289.8067932128906
2008-08-01,290.4342346191406,282.38818359375,273.3498229980469,291.09722900390625,289.6549987792969
2008-09-01,290.18646240234375,282.3348693847656,273.33782958984375,290.92840576171875,289.7548828125
2008-10-01,289.17803955078125,282.6496276855469,273.4317932128906,290.499267578125,289.7175598144531
2008-11-01,288.026611328125,283.2624206542969,273.67919921875,290.0591125488281,289.7328186035156
2008-12-01,287.03607177734375,284.2994689941406,274.22149658203125,289.90643310546875,289.9242248535156
2009-01-01,286.26055908203125,285.28265380859375,274.8331298828125,289.8935546875,290.14007568359375
2009-02-01,285.7666320800781,285.83782958984375,275.1836853027344,289.9291687011719,290.3485107421875
2009-03-01,285.7249450683594,285.8516845703125,274.98028564453125,289.9465637207031,290.530029296875
2009-04-01,286.05322265625,285.3123474121094,274.5048828125,289.9549560546875,290.52593994140625
2009-05-01,286.79217529296875,284.438720703125,274.03228759765625,290.07269287109375,290.3883056640625
2009-06-01,288.2011413574219,283.63458251953125,273.7038269042969,290.4004821777344,290.18145751953125
2009-07-01,289.6271667480469,282.9558410644531,273.51336669921875,290.8512268066406,289.9544372558594
2009-08-01,290.3234558105469,282.47393798828125,273.3631591796875,291.18572998046875,289.8516540527344
2009-09-01,289.9808044433594,282.42333984375,273.3330078125,291.0036926269531,289.697265625
