date,C_NA,C_SA,C_SO,C_PO,C_IO
1993-09-01,14.19019873755326,15.744212814241372,14.411374701701186,18.339168452149096,16.727418317638595
1993-10-01,14.190998639969006,15.743704568820231,14.416572286802857,18.339157398657495,16.727655828225025
1993-11-01,14.191797935962814,15.743199298034396,14.421758885089801,18.339146354115705,16.727893312348176
1993-12-01,14.192570863006926,15.74271319777382,14.426767564962446,18.339135674515536,16.728123110032293
1994-01-01,14.193368951407557,15.742213853740587,14.431932263196225,18.33912464786262,16.728360541101175
1994-02-01,14.194140725927964,15.741733412346964,14.436920025653194,18.33911398542328,16.72859028798195
1994-03-01,14.194886226069533,15.741271680473908,14.441731561753274,18.33910368670225,16.72881235251241
1994-04-01,14.19565687979332,15.74079674579898,14.446698951776954,18.339093041296447,16.72904205017682
1994-05-01,14.196452625585788,15.740308910566558,14.451821076531239,18.33908205004244,16.729279378253263
1994-06-01,14.197247776384893,15.739823999105006,14.4569323808948,18.339071067655112,16.7295166801721
1994-07-01,14.19801670297508,15.739357552466668,14.461868356719647,18.339060448037458,16.729746301866335
1994-08-01,14.198810668783988,15.738878466858127,14.466958093327769,18.339049483195595,16.729983551454346
1994-09-01,14.199604044561779,15.7384022832518,14.47203708212328,18.339038527112397,16.730220774848366
1994-10-01,14.200371258139599,15.73794426169764,14.476941854464174,18.339027932982074,16.7304503204348
1994-11-01,14.20113791633954,15.737488973226636,14.48183649624874,18.33901734737131,16.730679840983267
1994-12-01,14.201929545061562,15.737021387999425,14.486883615834987,18.33900641788095,16.730916985739125
1995-01-01,14.202720590825546,15.736556674974072,14.491920082199954,18.338995497347955,16.731154104011306
1995-02-01,14.203460069487699,15.736124565124566,14.496621886410935,18.338985289664492,16.73137590011017
1995-03-01,14.204224498614645,15.735680260234524,14.501475778409606,18.338974738645828,16.73160531949393
1995-04-01,14.20501384301992,15.735223933882082,14.506481110313507,18.338963844907926,16.731842360654493
1995-05-01,14.205777166508154,15.734785079902453,14.511314757595693,18.338953311395343,16.73207173001996
1995-06-01,14.206539945075722,15.734348912198556,14.516138428196953,18.338942786336,16.732301074525814
1995-07-01,14.207327575408781,15.733901036231176,14.521112372941051,18.338931919321563,16.73253803758095
