date,S_NA,S_SA,S_SO,S_PO,S_IO
1990-01-01,34.9197141971793,35.422864794609154,34.43181331319276,34.66911304277837,34.54491018828101
1990-02-01,34.92009421139192,35.422451888776784,34.43200547193021,34.66915780624357,34.545004125175076
1990-03-01,34.92050119432996,35.42206176007863,34.43211993493747,34.669152295518835,34.54514589291657
1990-04-01,34.92084016785352,35.421769283076166,34.432206001165845,34.66920558023424,34.54535495686928
1990-05-01,34.92100877080209,35.42151844593941,34.43232490732437,34.66925842658357,34.545681572906105
1990-06-01,34.92119997121771,35.421327502511666,34.43247893157388,34.66922245492348,34.5461395406431
1990-07-01,34.92144455294822,35.421089438748574,34.43267722618345,34.66921931334163,34.54664265398785
1990-08-01,34.92165539638689,35.42079417459895,34.432900596325226,34.66917361543476,34.54716265138093
1990-09-01,34.921834997976,35.420478237121635,34.433140837055845,34.669237300627834,34.54758537429098
1990-10-01,34.92201581802998,35.42008206322005,34.4333738288634,34.66935067994149,34.547851391329964
1990-11-01,34.92227751981474,35.419576568119666,34.433613641435585,34.669372353943615,34.54810652549336
1990-12-01,34.92254390326879,35.41915902436944,34.43385504160803,34.66943965910461,34.548279764173564
1991-01-01,34.92289036117964,35.41874175482517,34.434097859369615,34.66952918120014,34.54838497117761
1991-02-01,34.92326386671188,35.41831501952046,34.43423195032617,34.66953865958813,34.54851063512779
1991-03-01,34.92363679272075,35.41785349264964,34.43427825787001,34.66950077293379,34.54867585659417
1991-04-01,34.923927655939664,35.41746854717554,34.4343467613806,34.669548681338064,34.548824846544804
1991-05-01,34.92407589381025,35.41712784486779,34.43441594985383,34.669535198689225,34.549036545938264
1991-06-01,34.924115804886064,35.4168817108265,34.43454413714802,34.66945636333855,34.54938130906187
1991-07-01,34.92416254999384,35.416671745429355,34.43470166386182,34.66942202806126,34.549775718113196
1991-08-01,34.92426478481351,35.416323287192924,34.43485822540571,34.669289400550674,34.55011295739737
1991-09-01,34.92440017315444,35.41586450427438,34.435034648208244,34.6691134535867,34.55034613703612
1991-10-01,34.92450951458035,35.41543169858846,34.43521938012399,34.66905026667168,34.55053088906985
1991-11-01,34.924740858560654,35.41496288168174,34.43540349507267,34.66906546868464,34.550717294088514
1991-12-01,34.92505300053947,35.41443303111903,34.435600637967475,34.66906671865932,34.55087595970548
1992-01-01,34.92533648476157,35.413895775456645,34.43573469507598,34.669026606500694,34.550998677544705
1992-02-01,34.92560837489047,35.413386646766796,34.435802011942066,34.66902773966097,34.55105335338782
1992-03-01,34.92595699215151,35.412913268409326,34.43578739372768,34.668990288403386,34.551159147222926
1992-04-01,34.926118577397844,35.412503486884596,34.43576472443474,34.668950276595304,34.5512797121359
1992-05-01,34.926098906841595,35.41214986900031,34.435798043835455,34.66892121101721,34.55148670499704
1992-06-01,34.92609901446196,35.411896947507856,34.435907198997455,34.6688358177794,34.55175049174637
1992-07-01,34.926266068010925,35.41169021907861,34.43605444510448,34.66880421308742,34.552046425731184
1992-08-01,34.92655972154579,35.411466745313916,34.43623348926653,34.668738131387684,34.55238717689601
1992-09-01,34.92678764418122,35.411182495919675,34.43639950972682,34.66868496749333,34.55267941449292
1992-10-01,34.92702979172623,35.41077113366991,34.43656966400114,34.66864502399931,34.55288573364658
1992-11-01,34.927261947762766,35.41030616554716,34.43672822853244,34.668645303775605,34.55302390316966
1992-12-01,34.92755912085218,35.40979270489001,34.43692152754002,34.6686860208451,34.553135661829934
1993-01-01,34.927812914318444,35.40934129778875,34.43707651773766,34.668767772658335,34.55315910224878
1993-02-01,34.92808435571022,35.40899387651534,34.43715888401157,34.66880784885568,34.55335284756554
1993-03-01,34.92841748235426,35.408595473771946,34.437158038965386,34.66882110460932,34.553581853644936
1993-04-01,34.928729974595164,35.408242196744254,34.437119491563415,34.668860177684515,34.553762567450214
1993-05-01,34.92878972769798,35.40796321092229,34.43713241762019,34.668882567762466,34.553961160426425
1993-06-01,34.92884912910281,35.40773149676849,34.43725497907193,34.66882579783153,34.55423171748027
1993-07-01,34.92900291091642,35.407457846365965,34.43742363965143,34.668772057883324,34.55458202452606
1993-08-01,34.92921142353296,35.40715553801303,34.43759257761649,34.66871319616497,34.55499380427591
1993-09-01,34.92946438099705,35.40675890237723,34.4377613870516,34.66871018336238,34.5553259490729
1993-10-01,34.92967353951371,35.40632055608255,34.437948143122185,34.66871490137967,34.55554959652409
1993-11-01,34.92985060526859,35.40589761007081,34.438110742710066,34.6687772341285,34.555641629232284
1993-12-01,34.93011880434839,35.40549314817699,34.438286209459186,34.66879409473271,34.55572402276547
1994-01-01,34.930500209310544,35.40506628992621,34.43845123068479,34.66883706160779,34.55574915320118
1994-02-01,34.930927907434786,35.404647652632306,34.438535912943095,34.66888883898438,34.555766051143046
1994-03-01,34.931349384903825,35.40419723063314,34.43852344435945,34.66894350201301,34.55590793639915
1994-04-01,34.93173704390834,35.403734474164864,34.43853921788634,34.66898858534466,34.55612229050404
1994-05-01,34.93197243389927,35.403429762142146,34.438628238898005,34.66898046355726,34.55647773252292
1994-06-01,34.93226262965233,35.403213690589766,34.43876084562323,34.66895695783983,34.556853076760234
1994-07-01,34.932582946571216,35.40303170163415,34.438923835689685,34.668885802352484,34.55726488866904
1994-08-01,34.932866647272746,35.40282025265774,34.439108068385224,34.66884592545,34.55768486787643
1994-09-01,34.93304836010832,35.402518226392054,34.43931077635382,34.668740786063175,34.558067158198696
1994-10-01,34.93312836034733,35.40213810185119,34.43951901737657,34.668780269002625,34.55828573406657
1994-11-01,34.93333560617539,35.401668010480456,34.43971356990262,34.668874410687216,34.55835274505339
1994-12-01,34.933657524448755,35.40111671672254,34.43989704300506,34.66882849466285,34.55843024686183
1995-01-01,34.93412576785216,35.40056138266781,34.44004751116146,34.668847554727314,34.558414218254704
1995-02-01,34.93465087062919,35.40006161531206,34.440142364122394,34.668931915576344,34.558472533800014
1995-03-01,34.93504473687442,35.39959123698825,34.44012456745102,34.66902325175719,34.55864939789784
1995-04-01,34.935351114707,35.399049585176606,34.44007878817377,34.669074893239966,34.55884700675304
1995-05-01,34.935511785867824,35.39862567111588,34.440109075992744,34.66907028753857,34.558995952294744
1995-06-01,34.93553146336284,35.398373978011634,34.44023815630427,34.66905040516547,34.55917092258285
1995-07-01,34.93555463098004,35.39813850565997,34.44040808231811,34.669124854162185,34.55942621078503
1995-08-01,34.93536554521304,35.39781282833799,34.44059602706598,34.66919360260452,34.559712203143505
1995-09-01,34.93524023840802,35.39746597995975,34.44077994295896,34.66919319104682,34.56002950347441
1995-10-01,34.93528857420948,35.3970620404147,34.44095112194892,34.6692671340167,34.56022423951164
1995-11-01,34.935573020168405,35.3966302223695,34.441122795379606,34.669355715936085,34.56035529959934
1995-12-01,34.93592905493581,35.39608257148571,34.441288309595585,34.669423681749905,34.560539268541035
1996-01-01,34.93635252700526,35.395574370394115,34.44141249837815,34.66949671638354,34.560637377353814
1996-02-01,34.93679439337802,35.39518759838153,34.4414378045742,34.669580336628115,34.56070591955248
1996-03-01,34.93717991381488,35.394696232177886,34.44136473180798,34.66965320121413,34.56081716998063
1996-04-01,34.93754564706162,35.3941757676621,34.4413209442137,34.66968572783729,34.561006878619246
