date,F_NA,F_SA,F_SO,F_PO,F_IO,SST_NA,SST_SA,SST_SO,SST_PO,SST_IO,pCO2_air,month_sin,month_cos,year_norm,DISEQ_NA,DISEQ_SA,DISEQ_SO,DISEQ_PO,DISEQ_IO
1996-11-01,0.5130107971924579,0.2839832281905696,-0.0534116127361811,0.0034331916204669,0.4980939115891169,291.83456221765914,290.30577392197125,272.31155597535934,292.8203361396304,291.55999186858315,360.42278455852147,-0.5000000000000004,0.8660254037844384,0.3405442312816359,-0.0017884889453824073,-0.002766219712029302,0.009560793247414094,-0.006237349856570288,-0.0041852722023448165
1996-12-01,0.5519881043535727,0.2012136833853187,-0.0496562534746101,0.0160825041652599,0.4011792887015363,291.83623434880667,290.30562638098763,272.3110051556872,292.8218607297943,291.5602476062881,360.6013288208169,-2.4492935982947064e-16,1.0,0.34353364303093115,-0.001783704903616826,-0.0027593388673626436,0.00956847560401595,-0.006231863545196245,-0.004179383784962822
1997-01-01,0.439399688407907,0.334378514683315,-0.0842530848019906,0.7355514698168214,0.170355107554351,291.83796221765914,290.30547392197127,272.3104359753594,292.82343613963036,291.56051186858315,360.7858245585216,0.49999999999999994,0.8660254037844387,0.3466227018385265,-0.0017787103567443747,-0.00275225771946052,0.009576739911379712,-0.006226195570878728,-0.004173283641046608
1997-02-01,0.6276496430268057,0.553814082369215,-0.1825661975408541,0.5712830977124749,0.2927608454185938,291.83969482039885,290.30532104525895,272.3098652356333,292.8250158656578,291.5607768548845,360.97082576400084,0.8660254037844386,0.5000000000000001,0.3497202238209369,-0.0017737252026722976,-0.0027451479379323636,0.009584895431772784,-0.006220512271907081,-0.004167173857620329
1997-03-01,0.4544163209982725,0.4006977823003867,-0.2234688001837035,-0.6431817215820429,1.0181987550996383,291.8412597519057,290.3051829630672,272.309349728784,292.82644271497287,291.5610161973503,361.1379236270146,1.0,6.123233995736766e-17,0.35251798561150527,-0.001769272639504568,-0.002738702993547568,0.009591962726426923,-0.006215378728318807,-0.00416167065985654
1997-04-01,0.1940785506534824,0.3733004040972429,-0.209706266119074,0.4308052287207306,0.3963885062467044,291.8429923546454,290.3050300863548,272.308778989058,292.82802244100026,291.56128118365166,361.3229248324943,0.8660254037844387,-0.4999999999999998,0.35561550759392396,-0.0017642374300570075,-0.002731623739091414,0.009600446813367683,-0.006209697112782976,-0.004155545755557266
1997-05-01,0.2817615905804721,0.6522056242426105,-0.1672015230190278,-0.4384030342191488,0.5039195168267487,291.8446690669742,290.30488214114933,272.30822666029087,292.8295512081235,291.5615376220078,361.5019582571517,0.49999999999999994,-0.8660254037844387,0.35861310951238706,-0.001759413186560579,-0.002724750725471549,0.009608369239397311,-0.006204198604460021,-0.004149633259514998
1997-06-01,-0.0763762070112569,0.4857154761530017,-0.102643945585457,-0.0402439834872632,1.0065552259906676,291.8464016697139,290.304729264437,272.30765592056486,292.8311309341509,291.56180260830916,361.68695946263097,1.2246467991473532e-16,-1.0,0.3617106314947975,-0.001754428168546077,-0.0027176512308881035,0.009616566335343456,-0.006198517326018459,-0.004143523749652517
1997-07-01,0.2166272846484701,0.7384126791084442,-0.0762908699108895,-0.7809344715614179,0.9386798465559298,291.8480783820427,290.30458131923154,272.3071035917977,292.8326597012742,291.56205904666535,361.8659928872889,-0.4999999999999997,-0.8660254037844388,0.36470823341326886,-0.0017496289908453463,-0.0027107708520731078,0.009624356312794837,-0.006193019467472334,-0.004137619012661197
1997-08-01,0.1212646242381587,0.6073269459919728,-0.0652974899862005,-1.687708599122849,1.2451023589339485,291.8498109847824,290.3044284425192,272.3065328520717,292.8342394273016,291.5623240329667,362.0509940927681,-0.8660254037844384,-0.5000000000000004,0.36780575539567933,-0.0017446190618358726,-0.0027036889199607804,0.009632727119597586,-0.006187339559259052,-0.0041315020177328625
